name,txt,ph_seq,ph_dur,ph_num,note_seq,note_dur,comments
000001,In the failing light of the afternoon,SP i n ð a f e ʎ i ŋ ɡ l aj t ɒ v ð a a f t a n uː n SP,0.48 0.13 0.23 0.05 0.06 0.11 0.29 0.07 0.11 0.01 0.04 0.11 0.73 0.03 0.25 0.04 0.05 0.21 0.57 0.07 0.06 0.61 0.13 0.93 0.43 0.45,1 2 2 6 3 2 2 7 1,rest B3 B3 A3 G#3 E3 E3 F#3 G#3 A3 B3 B3 rest,0.545669 0.325079 0.19737 0.325079 0.278639 0.777868 0.348299 0.16254 0.743039 0.731429 1.184218 0.18576 0.441179,
000002,Lucy in the shade of the dogwood blooms,SP l uː s i i n ð a ʃ e d ɒ v ð a d ɒ ɡ w ʊ d SP b l uː m z SP,0.43 0.1 0.19 0.13 0.22 0.03 0.03 0.03 0.28 0.18 0.76 0.1 0.25 0.05 0.04 0.06 0.12 0.62 0.03 0.08 0.02 0.6 0.03 0.03 0.07 0.71 0.53 0.1 0.18,1 4 2 2 3 2 2 6 1 5 1,rest B2 A#3 B3 A3 G#3 E3 E3 F#3 G#3 A3 B3 rest,0.522449 0.10449 0.2322 0.2322 0.25542 0.278639 0.835918 0.359909 0.18576 0.743039 0.731429 1.149388 0.371519,
000003,Yesterday the solace of a poison fish,SP j ɛ s t a dʲ e ð a s ɒ ʎ ɪ s ɒ v SP a SP p ɔj z ə n fʲ i ʃ SP,0.47 0.12 0.2 0.1 0.06 0.13 0.08 0.24 0.05 0.08 0.16 0.25 0.06 0.38 0.16 0.44 0.06 0.03 1.39 0.1 0.03 0.06 0.03 0.26 0.24 0.03 0.07 0.28 0.36,1 7 2 5 2 1 1 1 5 3 1,rest A#3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 G#3 A3 B3 B3 rest,0.580499 0.371519 0.20898 0.290249 0.24381 0.336689 0.510839 0.348299 0.19737 0.464399 0.301859 0.743039 0.568889 0.10449 0.650159,
000004,Tomorrow I'll be kissing on her blood-red lips,SP ʈ ə m ɒ ɹ oː a ɫ bʲ i c ɪ s ɪ ŋ a n a b l ɐ d ɹ ɛ d ʎ i p s SP,0.48 0.06 0.04 0.11 0.18 0.05 0.29 0.19 0.08 0.07 0.11 0.14 0.43 0.16 0.05 0.22 0.24 0.07 0.15 0.07 0.07 0.56 0.03 0.09 1.2 0.14 0.03 0.03 0.14 0.18 0.42,1 6 2 2 5 2 1 4 3 4 1,rest B3 B3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.568889 0.313469 0.417959 0.278639 0.812698 0.25542 0.313469 0.2322 0.708209 0.766259 0.650159 0.766259,
000005,And no one is the savior they would like to be,SP a n n əw ʋ ɒ n i z ð a s e vʲ ɔ ð e a d l aj k SP ə SP bʲ i SP,0.58 0.07 0.1 0.04 0.19 0.03 0.22 0.09 0.24 0.07 0.03 0.09 0.13 0.7 0.03 0.03 0.14 0.23 0.18 0.03 0.1 0.59 0.08 0.03 0.61 0.03 0.09 0.85 0.48,1 2 2 3 2 2 4 2 2 3 1 1 1 2 1,rest B3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.801088 0.20898 0.313469 0.325079 0.2322 0.684989 0.20898 0.348299 0.18576 0.743039 0.696599 0.928798 0.406349,
000006,The love song of the buzzard in the dogwood tree,SP ð a l ɐ v s ɑ ŋ ɒ v ð a b ɐ z ə d i n ð a d ɒ ɡ w ʊ d SP t ɹ iː SP,0.48 0.05 0.03 0.07 0.18 0.04 0.16 0.16 0.07 0.18 0.08 0.04 0.13 0.07 0.81 0.03 0.03 0.03 0.22 0.06 0.03 0.08 0.12 0.63 0.04 0.05 0.02 0.61 0.03 0.09 0.14 0.93 0.44,1 2 3 3 2 2 5 2 2 6 1 3 1,rest B3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.638549 0.371519 0.22059 0.290249 0.2322 0.290249 0.603719 0.301859 0.19737 0.731429 0.743039 1.033288 0.476009,
000007,With a train of horses laughing through the traffic line,SP ʋ ɪ d̪ a t ɹ e n ɒ v h ɒ ɹ s ɪ z l a fʲ i ŋ ɡ t̪ ɹ ə f ð a t ɹ a fʲ i k l aj n SP,0.45 0.1 0.04 0.1 0.05 0.15 0.05 0.28 0.03 0.11 0.03 0.03 0.19 0.09 0.06 0.15 0.04 0.09 0.4 0.11 0.23 0.01 0.03 0.03 0.03 0.23 0.03 0.04 0.07 0.11 0.05 1.25 0.03 0.03 0.03 0.08 0.73 0.28 0.49,1 3 1 4 2 6 6 4 2 6 3 1,rest A2 A3 B3 A3 G#3 G3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.522449 0.383129 0.12771 0.394739 0.336689 0.267029 0.17415 0.348299 0.290249 0.336689 0.18576 0.754649 0.696599 1.068118 0.441179,
000008,And the cradle's unimaginative sense of time,SP a n ð a c ɹ e d ʊ ɫ z ɐ n i m a dʒ i n a tʲ i v s ɛ n s ɒ v ʈ aj m SP,0.62 0.08 0.08 0.03 0.03 0.14 0.07 0.27 0.03 0.12 0.03 0.05 0.26 0.05 0.1 0.09 0.57 0.13 0.39 0.03 0.03 0.08 0.2 0.05 0.12 0.41 0.09 0.06 0.58 0.06 0.09 0.87 1.23 0.19,1 2 2 7 12 4 2 3 1,rest rest A3 B3 B3 A3 G#3 F#3 G#3 F#3 E3 E3 F#3 G#3 A3 A3 F#3 F#3 rest,0.812698 0.18576 0.12771 0.2322 0.22059 0.290249 0.18576 0.10449 0.10449 0.487619 0.22059 0.325079 0.371519 0.545669 0.731429 0.359909 1.590567 0.19737 0.12771,
000009,[vocalizing],,,,,,
000010,[vocalizing],,,,,,
000011,Springtime and the promise of an open fist,SP s p ɹ ɪ ŋ ʈ aj m a n ð a p ɹ ɑ mʲ ɪ s ɒ v a n əw p ə n fʲ i s t SP,0.46 0.1 0.08 0.04 0.15 0.12 0.04 0.19 0.03 0.22 0.05 0.04 0.09 0.1 0.05 0.22 0.12 0.41 0.11 1.17 0.1 0.44 0.11 0.03 0.12 0.44 0.22 0.03 0.03 0.05 0.03 0.55,1 8 2 2 6 2 2 4 4 1,rest B3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.661769 0.336689 0.22059 0.290249 0.22059 0.348299 0.545669 0.336689 0.22059 0.708209 0.719819 0.603719 0.731429,
000012,A tattoo of a flower on a broken wrist,SP a ʈ a ʈ ʉː ɒ v SP a SP f l aw a a n a b ɹ əw k ə n ɹ i s t SP,0.58 0.07 0.13 0.17 0.12 0.19 0.46 0.06 0.04 2.09 0.03 0.03 0.03 0.52 0.03 0.73 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.07 0.03 0.62,1 1 4 2 1 1 1 4 2 1 6 4 1,rest A2 A3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.615329 0.16254 0.290249 0.25542 0.290249 0.2322 0.359909 0.545669 0.325079 0.17415 0.731429 0.731429 0.847528 0.743039,
000013,And Lucy tells me jokingly to wipe her brow,SP a n l uː s i ʈ ɛ l z ɛ mʲ iː dʒ əw c ɪ ɲ ʎ i SP ə SP ʋ aj p SP a SP b ɹ aw SP,0.63 0.08 0.13 0.05 0.13 0.13 0.19 0.09 0.18 0.05 0.06 0.03 0.03 0.11 0.11 0.36 0.15 0.13 0.16 0.03 0.24 0.03 0.81 0.03 0.03 0.05 0.03 0.03 0.65 0.03 0.05 0.04 1.4 0.47,1 2 4 4 3 7 1 1 1 3 1 1 1 3 1,rest B2 B3 B3 A3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 B3,0.673379 0.22059 0.25542 0.278639 0.325079 0.24381 0.522449 0.301859 0.301859 0.24381 0.743039 0.708209 1.358367 0.545669,
000014,With a pocket map to heaven and the sun goes down,SP ʋ ɪ d̪ a p ɒ c ɪ ʈ m a p ə h ɛ v ə n a n ð a s ɐ n ɡ əw z d aw n SP,0.47 0.07 0.07 0.06 0.07 0.11 0.2 0.1 0.18 0.03 0.07 0.18 0.11 0.14 0.13 0.18 0.09 0.41 0.14 0.23 0.07 0.04 0.05 0.15 0.49 0.22 0.06 0.5 0.12 0.05 0.88 0.44 0.47,1 3 1 5 3 1 5 2 2 3 3 3 1,rest A#2 D3 A3 B3 A3 G#3 G#3 F#3 E3 E3 F#3 G#3 A3 B3 rest,0.534059 0.12771 0.20898 0.290249 0.267029 0.301859 0.16254 0.1161 0.336689 0.464399 0.325079 0.2322 0.743039 0.673379 1.323537 0.476009,
000015,[vocalizing],,,,,,
000016,[vocalizing],,,,,,
